"Year","Month","MonitoringLocation","SampleDate","SALINITY","State","Sample.month","Region","Site","Lat","Long","Prevalence","Mean.Intensity","WTEMP","Lat_Env","Long_Env","oysteryear"
1990,"Apr","CB3.2",1990-04-04,4.48,"MD","October","NANTICOKE RIVER","WILSON SHOALS (S)",39.289717,-75.921033,"93",2.98214285714286,8.2,"39.083970000000001",-76.18145,1990
1990,"Apr","EE2.2",1990-04-03,11.28,"MD","October","HONGA RIVER","NORMAN ADDITION",38.257933,-76.13665,"100",3.93333333333333,9.3,"38.319420000000001",-76.14587,1990
1990,"Apr","EE3.0",1990-04-05,11.28,"MD","October","FISHING BAY","GOOSE CREEK",38.275533,-76.014233,"60",2.94444444444444,10.1,"38.165320000000001",-76.00854,1990
1990,"Apr","EE3.0",1990-04-05,11.28,"MD","October","TANGIER SOUND","SHARKFIN SHOAL",38.208167,-75.986383,"23",1.21428571428571,10.1,"38.165320000000001",-76.00854,1990
1990,"Apr","EE3.1",1990-04-05,12.13,"MD","October","POCOMOKE SOUND","MARUMSCO",37.948233,-75.736017,"97",3.74137931034483,9.3,"38.071159999999999",-76.04566,1990
1990,"Apr","EE3.1",1990-04-05,12.13,"MD","October","HOLLAND STRAITS","HOLLAND STRAITS",38.1186,-76.075933,"100",3.86666666666667,9.3,"38.071159999999999",-76.04566,1990
1990,"Apr","EE3.1",1990-04-05,12.13,"MD","October","TANGIER SOUND","BACK COVE",38.030167,-75.979817,"100",2.8,9.3,"38.071159999999999",-76.04566,1990
1990,"Apr","ET4.2",1990-04-04,7.93,"MD","October","CHOPTANK RIVER","SANDY HILL (S)",38.598383,-76.113417,"100",4.11666666666667,8.7,"38.596419999999995",-76.12821,1990
1990,"Apr","ET4.2",1990-04-04,7.93,"MD","October","EASTERN BAY","PARSONS ISLAND",38.895883,-76.2602,"20",2.08333333333333,8.7,"38.596419999999995",-76.12821,1990
1990,"Apr","ET5.2",1990-04-02,8.06,"MD","October","MANOKIN RIVER","GEORGES (S)",38.40033,-75.824867,"83",2.02,10.1,"38.395020000000002",-76.11291,1990
1990,"Aug","CB3.2",1990-08-01,6.68,"MD","October","NANTICOKE RIVER","WILSON SHOALS (S)",39.289717,-75.921033,"93",2.98214285714286,25.1,"39.083970000000001",-76.18145,1990
1990,"Aug","EE2.2",1990-08-14,12.07,"MD","October","HONGA RIVER","NORMAN ADDITION",38.257933,-76.13665,"100",3.93333333333333,26.8,"38.319420000000001",-76.14587,1990
1990,"Aug","EE3.0",1990-08-16,12.33,"MD","October","TANGIER SOUND","SHARKFIN SHOAL",38.208167,-75.986383,"23",1.21428571428571,27.4,"38.165320000000001",-76.00854,1990
1990,"Aug","EE3.0",1990-08-16,12.33,"MD","October","FISHING BAY","GOOSE CREEK",38.275533,-76.014233,"60",2.94444444444444,27.4,"38.165320000000001",-76.00854,1990
1990,"Aug","EE3.1",1990-08-01,14.4,"MD","October","POCOMOKE SOUND","MARUMSCO",37.948233,-75.736017,"97",3.74137931034483,26.7,"38.071159999999999",-76.04566,1990
1990,"Aug","EE3.1",1990-08-01,14.4,"MD","October","TANGIER SOUND","BACK COVE",38.030167,-75.979817,"100",2.8,26.7,"38.071159999999999",-76.04566,1990
1990,"Aug","EE3.1",1990-08-01,14.4,"MD","October","HOLLAND STRAITS","HOLLAND STRAITS",38.1186,-76.075933,"100",3.86666666666667,26.7,"38.071159999999999",-76.04566,1990
1990,"Aug","ET4.2",1990-08-14,9.72,"MD","October","EASTERN BAY","PARSONS ISLAND",38.895883,-76.2602,"20",2.08333333333333,26.3,"38.596419999999995",-76.12821,1990
1990,"Aug","ET4.2",1990-08-14,9.72,"MD","October","CHOPTANK RIVER","SANDY HILL (S)",38.598383,-76.113417,"100",4.11666666666667,26.3,"38.596419999999995",-76.12821,1990
1990,"Aug","ET5.2",1990-08-14,8.38,"MD","October","MANOKIN RIVER","GEORGES (S)",38.40033,-75.824867,"83",2.02,26.8,"38.395020000000002",-76.11291,1990
1990,"Dec","CB3.2",1990-12-12,4.06,"MD","October","NANTICOKE RIVER","WILSON SHOALS (S)",39.289717,-75.921033,"93",2.98214285714286,5.9,"39.083970000000001",-76.18145,1991
1990,"Dec","EE2.2",1990-12-11,12.13,"MD","October","HONGA RIVER","NORMAN ADDITION",38.257933,-76.13665,"100",3.93333333333333,6.7,"38.319420000000001",-76.14587,1991
1990,"Dec","EE3.0",1990-12-13,13.93,"MD","October","TANGIER SOUND","SHARKFIN SHOAL",38.208167,-75.986383,"23",1.21428571428571,6.4,"38.165320000000001",-76.00854,1991
1990,"Dec","EE3.0",1990-12-13,13.93,"MD","October","FISHING BAY","GOOSE CREEK",38.275533,-76.014233,"60",2.94444444444444,6.4,"38.165320000000001",-76.00854,1991
1990,"Dec","EE3.1",1990-12-13,14.13,"MD","October","HOLLAND STRAITS","HOLLAND STRAITS",38.1186,-76.075933,"100",3.86666666666667,7,"38.071159999999999",-76.04566,1991
1990,"Dec","EE3.1",1990-12-13,14.13,"MD","October","TANGIER SOUND","BACK COVE",38.030167,-75.979817,"100",2.8,7,"38.071159999999999",-76.04566,1991
1990,"Dec","EE3.1",1990-12-13,14.13,"MD","October","POCOMOKE SOUND","MARUMSCO",37.948233,-75.736017,"97",3.74137931034483,7,"38.071159999999999",-76.04566,1991
1990,"Dec","ET4.2",1990-12-11,6.06,"MD","October","EASTERN BAY","PARSONS ISLAND",38.895883,-76.2602,"20",2.08333333333333,6.4,"38.596419999999995",-76.12821,1991
1990,"Dec","ET4.2",1990-12-11,6.06,"MD","October","CHOPTANK RIVER","SANDY HILL (S)",38.598383,-76.113417,"100",4.11666666666667,6.4,"38.596419999999995",-76.12821,1991
1990,"Dec","ET5.2",1990-12-11,10.43,"MD","October","MANOKIN RIVER","GEORGES (S)",38.40033,-75.824867,"83",2.02,6.3,"38.395020000000002",-76.11291,1991
1990,"Feb","CB3.2",1990-02-07,1.74,"MD","October","NANTICOKE RIVER","WILSON SHOALS (S)",39.289717,-75.921033,"93",2.98214285714286,4.6,"39.083970000000001",-76.18145,1990
1990,"Feb","EE2.2",1990-02-06,13.46,"MD","October","HONGA RIVER","NORMAN ADDITION",38.257933,-76.13665,"100",3.93333333333333,4.6,"38.319420000000001",-76.14587,1990
1990,"Feb","EE3.0",1990-02-05,9.78,"MD","October","TANGIER SOUND","SHARKFIN SHOAL",38.208167,-75.986383,"23",1.21428571428571,6.4,"38.165320000000001",-76.00854,1990
1990,"Feb","EE3.0",1990-02-05,9.78,"MD","October","FISHING BAY","GOOSE CREEK",38.275533,-76.014233,"60",2.94444444444444,6.4,"38.165320000000001",-76.00854,1990
1990,"Feb","EE3.1",1990-02-05,13.06,"MD","October","HOLLAND STRAITS","HOLLAND STRAITS",38.1186,-76.075933,"100",3.86666666666667,6,"38.071159999999999",-76.04566,1990
1990,"Feb","EE3.1",1990-02-05,13.06,"MD","October","TANGIER SOUND","BACK COVE",38.030167,-75.979817,"100",2.8,6,"38.071159999999999",-76.04566,1990
1990,"Feb","EE3.1",1990-02-05,13.06,"MD","October","POCOMOKE SOUND","MARUMSCO",37.948233,-75.736017,"97",3.74137931034483,6,"38.071159999999999",-76.04566,1990
1990,"Feb","ET4.2",1990-02-06,8.5,"MD","October","CHOPTANK RIVER","SANDY HILL (S)",38.598383,-76.113417,"100",4.11666666666667,5.4,"38.596419999999995",-76.12821,1990
1990,"Feb","ET4.2",1990-02-06,8.5,"MD","October","EASTERN BAY","PARSONS ISLAND",38.895883,-76.2602,"20",2.08333333333333,5.4,"38.596419999999995",-76.12821,1990
1990,"Feb","ET5.2",1990-02-06,9.65,"MD","October","MANOKIN RIVER","GEORGES (S)",38.40033,-75.824867,"83",2.02,5.8,"38.395020000000002",-76.11291,1990
1990,"Jan","CB3.2",1990-01-10,9.72,"MD","October","NANTICOKE RIVER","WILSON SHOALS (S)",39.289717,-75.921033,"93",2.98214285714286,0.9,"39.083970000000001",-76.18145,1990
1990,"Jan","EE2.2",1990-01-09,13.13,"MD","October","HONGA RIVER","NORMAN ADDITION",38.257933,-76.13665,"100",3.93333333333333,0.4,"38.319420000000001",-76.14587,1990
1990,"Jan","EE3.0",1990-01-08,12.2,"MD","October","FISHING BAY","GOOSE CREEK",38.275533,-76.014233,"60",2.94444444444444,1.7,"38.165320000000001",-76.00854,1990
1990,"Jan","EE3.0",1990-01-08,12.2,"MD","October","TANGIER SOUND","SHARKFIN SHOAL",38.208167,-75.986383,"23",1.21428571428571,1.7,"38.165320000000001",-76.00854,1990
1990,"Jan","EE3.1",1990-01-08,13.66,"MD","October","TANGIER SOUND","BACK COVE",38.030167,-75.979817,"100",2.8,0.9,"38.071159999999999",-76.04566,1990
1990,"Jan","EE3.1",1990-01-08,13.66,"MD","October","HOLLAND STRAITS","HOLLAND STRAITS",38.1186,-76.075933,"100",3.86666666666667,0.9,"38.071159999999999",-76.04566,1990
1990,"Jan","EE3.1",1990-01-08,13.66,"MD","October","POCOMOKE SOUND","MARUMSCO",37.948233,-75.736017,"97",3.74137931034483,0.9,"38.071159999999999",-76.04566,1990
